,Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
72,A Quiet Place,2018-04-06,90 min,"Drama, Horror, Sci-Fi",Nominated for 1 Oscar. 35 wins & 126 nominations total,82.0,7.5,"542,991",tt6644200,188024361.0,"American Sign , English",17000000.0,not_netflix
73,Blockers,2018-04-06,102 min,"Comedy, Drama",1 win & 6 nominations,69.0,6.2,"81,525",tt2531344,60311495.0,English,21000000.0,not_netflix
74,You Were Never Really Here,2018-04-06,89 min,"Crime, Drama",Nominated for 1 BAFTA Award23 wins & 77 nominations total,84.0,6.7,"122,036",tt5742374,2528078.0,English,,not_netflix
75,Chappaquiddick,2018-04-06,106 min,"Biography, Drama, History",7 nominations,67.0,6.4,"13,919",tt5270948,17395520.0,English,34000000.0,not_netflix
76,Pandas,2018-04-06,42 min,"Documentary, Short",1 win & 1 nomination,82.0,7.3,706,tt7860270,7574012.0,English,0.0,not_netflix
77,Lean on Pete,2018-05-04,121 min,"Adventure, Drama, Sport",11 wins & 18 nominations,80.0,7.2,"13,233",tt5340300,1163056.0,"English, Spanish",8000000.0,not_netflix
78,The Miracle Season,2018-04-06,101 min,"Drama, Sport",1 nomination,44.0,6.5,"5,772",tt5427194,10230620.0,English,0.0,not_netflix
79,Beirut,2018-04-11,109 min,"Action, Crime, Drama",1 nomination,69.0,6.5,"23,345",tt4669264,5019226.0,"English, Arabic, French",0.0,not_netflix
80,Rampage,2018-04-13,107 min,"Action, Adventure, Sci-Fi",7 nominations,45.0,6.1,"173,366",tt2231461,101028233.0,"English, American Sign ",120000000.0,not_netflix
81,Truth or Dare,2018-04-13,100 min,"Horror, Thriller",1 win & 2 nominations,35.0,5.2,"58,482",tt6772950,41411015.0,"English, Spanish",3500000.0,not_netflix
82,The Rider,2018-04-13,104 min,"Drama, Western",25 wins & 56 nominations,91.0,7.4,"19,687",tt6217608,2419031.0,"English, Sioux, Spanish",0.0,not_netflix
83,Sgt. Stubby: An American Hero,2018-04-13,84 min,"Animation, Adventure, Family",23 wins & 7 nominations,58.0,6.9,"2,376",tt5314190,4015935.0,"English, French, German",25000000.0,not_netflix
84,I Feel Pretty,2018-04-20,110 min,"Comedy, Romance",1 win & 5 nominations,48.0,5.6,"55,123",tt6791096,48795601.0,English,32000000.0,not_netflix
85,Super Troopers 2,2018-04-20,99 min,"Comedy, Crime, Mystery",2 wins & 2 nominations,41.0,6.0,"27,266",tt0859635,30617396.0,English,13500000.0,not_netflix
86,Traffik,2018-04-20,96 min,"Action, Thriller",3 nominations,37.0,5.9,"20,841",tt5670152,9186156.0,English,4000000.0,not_netflix
87,The House of Tomorrow,2019-06-20,85 min,"Comedy, Drama",1 win & 1 nomination,58.0,6.1,"2,242",tt5910344,35821.0,English,,not_netflix
88,Liz and the Blue Bird,2018-04-21,90 min,"Animation, Drama, Fantasy",1 win & 4 nominations,67.0,7.1,"1,876",tt7089878,63204.0,"Japanese, English",0.0,not_netflix
89,Avengers: Infinity War,2018-04-27,149 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 46 wins & 79 nominations total,68.0,8.4,"1,107,989",tt4154756,678815482.0,English,300000000.0,not_netflix
90,Disobedience,2018-04-27,114 min,Drama,4 wins & 27 nominations,74.0,6.6,"32,921",tt6108178,3498782.0,"English, Hebrew",6000000.0,not_netflix
91,Backstabbing for Beginners,2018-04-27,108 min,"Drama, History, Romance",1 nomination,48.0,6.3,"5,514",tt5153288,,"English, Persian, French",0.0,not_netflix
92,Action Point,2018-06-01,85 min,Comedy,,36.0,5.1,"11,809",tt6495770,5059608.0,English,19000000.0,not_netflix
93,Adrift,2018-06-01,96 min,"Action, Adventure, Biography",5 nominations,56.0,6.6,"58,470",tt6306064,31445012.0,"English, French",35000000.0,not_netflix
94,Upgrade,2018-06-01,100 min,"Action, Sci-Fi, Thriller",3 wins & 26 nominations,67.0,7.5,"191,226",tt6499752,11977130.0,"English, Dutch",5000000.0,not_netflix
95,American Animals,2018-08-14,116 min,"Biography, Crime, Drama",10 wins & 22 nominations,68.0,7.0,"46,630",tt6212478,2856954.0,"English, Dutch",3000000.0,not_netflix
96,Social Animals,2018-06-01,90 min,Comedy,,37.0,5.3,"1,902",tt5639898,5007.0,English,0.0,not_netflix
97,Ocean's 8: Reimagining the Met Gala,2018-09-11,13 min,"Documentary, Short",,,7.1,21,tt9108974,,English,,not_netflix
98,Won't You Be My Neighbor?,2018-06-29,95 min,"Documentary, Biography",54 wins & 34 nominations,85.0,8.3,"26,192",tt7681902,22835787.0,"English, Hebrew",0.0,not_netflix
99,Hereditary,2018-06-08,127 min,"Drama, Horror, Mystery",48 wins & 112 nominations,87.0,7.3,"334,055",tt7784604,44069456.0,"English, Spanish",10000000.0,not_netflix
100,Hotel Artemis,2018-06-08,94 min,"Action, Crime, Drama",1 win & 1 nomination,58.0,6.1,"55,254",tt5834262,6708147.0,"English, French",15000000.0,not_netflix
101,SuperFly,2018-06-13,116 min,"Action, Crime, Thriller",,52.0,5.2,"7,309",tt7690670,20545116.0,"English, Spanish, Cantonese",16000000.0,not_netflix
102,Incredibles 2,2018-06-15,118 min,"Animation, Action, Adventure",Nominated for 1 Oscar. 12 wins & 81 nominations total,80.0,7.6,"305,694",tt3606756,608581744.0,English,200000000.0,not_netflix
103,Tag,2018-06-15,100 min,"Action, Comedy",3 nominations,56.0,6.5,"137,681",tt2854926,54730625.0,"English, Spanish",28000000.0,not_netflix
104,On Chesil Beach,2018-05-18,110 min,"Drama, Music, Romance",,62.0,6.3,"11,720",tt1667321,745971.0,English,745971.0,not_netflix
105,Gotti,2018-06-14,112 min,"Biography, Crime, Drama",7 nominations,24.0,4.7,"16,021",tt1801552,4343227.0,English,10000000.0,not_netflix
106,Jurassic World: Fallen Kingdom,2018-06-22,128 min,"Action, Adventure, Sci-Fi",4 wins & 26 nominations,51.0,6.1,"324,475",tt4881806,417719760.0,"English, Russian",170000000.0,not_netflix
107,Boundaries,2018-09-13,104 min,"Comedy, Drama",5 nominations,50.0,5.5,"2,470",tt5686062,703438.0,English,0.0,not_netflix
108,Damsel,2018-06-22,113 min,"Comedy, Drama, Western",3 nominations,63.0,5.6,"5,550",tt5881528,305136.0,English,0.0,not_netflix
109,The Domestics,2018-06-29,95 min,"Action, Horror, Sci-Fi",,,5.7,"10,216",tt5591666,,English,0.0,not_netflix
110,Sicario: Day of the Soldado,2018-06-29,122 min,"Action, Crime, Drama",1 win & 7 nominations,61.0,7.0,"154,216",tt5052474,50072235.0,"English, Spanish, American Sign , Arabic, Somali, Spanish Sign ",35000000.0,not_netflix
111,Leave No Trace,2018-06-29,109 min,"Adventure, Drama",18 wins & 95 nominations,88.0,7.1,"61,771",tt3892172,6046104.0,English,0.0,not_netflix
112,Uncle Drew,2018-06-29,103 min,"Comedy, Sport",3 wins & 1 nomination,57.0,5.8,"15,023",tt7334528,42469946.0,English,19000000.0,not_netflix
113,Woman Walks Ahead,2018-06-29,101 min,"Biography, Drama, History",6 wins & 1 nomination,51.0,6.6,"7,667",tt5436228,57528.0,"English, Sioux",0.0,not_netflix
114,Overboard,1987-12-16,112 min,"Comedy, Romance",3 nominations,53.0,6.9,"62,998",tt0093693,26713187.0,"English, French, Portuguese",12000000.0,not_netflix
115,Tully,2018-05-04,95 min,"Comedy, Drama, Mystery",3 wins & 28 nominations,75.0,6.9,"60,739",tt5610554,9369755.0,English,0.0,not_netflix
116,Bad Samaritan,2018-05-04,110 min,"Crime, Horror, Thriller",1 nomination,42.0,6.4,"24,594",tt3203528,3435047.0,English,0.0,not_netflix
117,The Cleanse,2018-05-04,81 min,"Comedy, Drama, Fantasy",6 wins & 4 nominations,58.0,5.1,"3,945",tt3734354,,English,0.0,not_netflix
118,The Guardians,2017-02-23,89 min,"Action, Adventure, Comedy",1 nomination,,4.0,"14,023",tt4600952,,Russian,0.0,not_netflix
119,Life of the Party,2018-05-11,105 min,Comedy,3 wins & 4 nominations,46.0,5.6,"37,981",tt5619332,53059911.0,English,30000000.0,not_netflix
120,Breaking In,2018-05-11,88 min,"Action, Thriller",1 win & 1 nomination,42.0,5.5,"16,295",tt7137846,46840590.0,English,6000000.0,not_netflix
121,The Seagull,2018-07-26,98 min,"Comedy, Drama, Romance",1 win & 3 nominations,58.0,5.7,"3,763",tt4682136,1252960.0,English,0.0,not_netflix
122,Terminal,2018-05-11,95 min,"Comedy, Crime, Drama",2 nominations,27.0,5.3,"23,518",tt4463816,,English,2700.0,not_netflix
123,Deadpool 2,2018-05-18,119 min,"Action, Adventure, Comedy",6 wins & 52 nominations,66.0,7.7,"597,624",tt5463162,324591735.0,"English, Cantonese, Spanish, Russian",110000000.0,not_netflix
124,Book Club,2018-05-18,104 min,"Comedy, Drama, Romance",2 wins & 3 nominations,53.0,6.1,"29,050",tt6857166,68566296.0,"English, Hungarian, Spanish, French",10000000.0,not_netflix
125,First Reformed,2018-06-08,113 min,"Drama, Mystery, Thriller",Nominated for 1 Oscar. 60 wins & 109 nominations total,85.0,7.1,"58,770",tt6053438,3448256.0,English,3500000.0,not_netflix
126,Pope Francis: A Man of His Word,2018-06-14,96 min,"Documentary, Biography",1 win & 4 nominations,63.0,6.5,"2,318",tt6915100,2008385.0,"Italian, Spanish, German, English",0.0,not_netflix
127,Show Dogs,2018-05-18,92 min,"Adventure, Comedy, Crime",1 nomination,31.0,3.9,"4,858",tt5691024,17857020.0,English,5500000.0,not_netflix
128,Solo: A Star Wars Story,2018-05-25,135 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 6 wins & 26 nominations total,62.0,6.9,"356,610",tt3778644,213767512.0,English,250000000.0,not_netflix
129,How to Talk to Girls at Parties,2018-05-25,102 min,"Comedy, Music, Romance",9 nominations,50.0,5.7,"11,711",tt3859310,84809.0,English,,not_netflix
130,In Darkness,2018-05-25,110 min,"Mystery, Thriller",,59.0,5.7,"13,727",tt5164184,,"English, Serbo-Croatian, Russian",0.0,not_netflix
131,The Misandrists,2018-05-25,91 min,"Comedy, Drama",4 nominations,56.0,5.0,503,tt5518756,26123.0,"English, German, Danish",,not_netflix
132,Future World,2018-05-25,88 min,"Action, Adventure, Sci-Fi",,10.0,3.2,"6,520",tt5737536,,English,0.0,not_netflix
133,The First Purge,2018-07-04,97 min,"Action, Horror, Sci-Fi",1 nomination,54.0,5.2,"65,962",tt6133466,69488745.0,"English, French, Spanish",13000000.0,not_netflix
134,Ant-Man and the Wasp,2018-07-06,118 min,"Action, Adventure, Comedy",2 wins & 21 nominations,70.0,7.0,"418,820",tt5095030,216648740.0,"English, Spanish, French",140000000.0,not_netflix
135,Sorry to Bother You,2018-07-13,112 min,"Comedy, Drama, Fantasy",19 wins & 57 nominations,80.0,6.9,"82,939",tt5688932,17493096.0,English,0.0,not_netflix
136,Hotel Transylvania 3: Summer Vacation,2018-07-13,97 min,"Animation, Adventure, Comedy",2 wins & 9 nominations,54.0,6.3,"77,477",tt5220122,167510016.0,"English, Spanish, German, Russian",80000000.0,not_netflix
137,Skyscraper,2018-07-13,102 min,"Action, Adventure, Thriller",4 nominations,51.0,5.8,"125,855",tt5758778,68420120.0,"English, Cantonese, Mandarin",125000000.0,not_netflix
138,Eighth Grade,2018-08-03,93 min,"Comedy, Drama",60 wins & 94 nominations,89.0,7.4,"78,267",tt7014006,13539709.0,English,2000000.0,not_netflix
139,"Don't Worry, He Won't Get Far on Foot",2018-04-04,114 min,"Biography, Comedy, Drama",5 nominations,67.0,6.8,"28,545",tt6288124,1441705.0,English,0.0,not_netflix
140,Shock and Awe,2018-07-20,90 min,"Biography, Drama, History",,47.0,6.4,"7,851",tt5540992,77980.0,English,0.0,not_netflix
141,Mamma Mia! Here We Go Again,2018-07-20,114 min,"Comedy, Musical, Romance",12 nominations,60.0,6.6,"99,310",tt6911608,120634935.0,"English, French, Greek",75000000.0,not_netflix
142,The Equalizer 2,2018-07-20,121 min,"Action, Crime, Thriller",1 win & 4 nominations,50.0,6.7,"166,149",tt3766354,102084362.0,"English, French, Turkish, Hebrew, Arabic, Spanish",62000000.0,not_netflix
143,Blindspotting,2018-07-27,95 min,"Comedy, Crime, Drama",5 wins & 23 nominations,77.0,7.4,"31,563",tt7242142,4333394.0,English,0.0,not_netflix
144,Unfriended: Dark Web,2018-07-20,92 min,"Horror, Mystery, Thriller",,53.0,6.0,"34,734",tt4761916,8866745.0,"English, American Sign , Indonesian",1000000.0,not_netflix
145,Mission: Impossible - Fallout,2018-07-27,147 min,"Action, Adventure, Thriller",Nominated for 1 BAFTA Award25 wins & 41 nominations total,86.0,7.7,"341,519",tt4912910,220159104.0,"English, French",178000000.0,not_netflix
146,Teen Titans GO! To the Movies,2018-07-27,84 min,"Animation, Action, Adventure",9 nominations,69.0,6.7,"20,291",tt7424200,29790236.0,English,,not_netflix
147,Detective Dee: The Four Heavenly Kings,2018-07-27,132 min,"Action, Adventure, Drama",1 win & 18 nominations,58.0,6.3,"2,843",tt6869538,262963.0,Mandarin,0.0,not_netflix
148,Hot Summer Nights,2018-07-27,107 min,"Crime, Drama, Romance",2 nominations,44.0,6.3,"20,557",tt3416536,,English,0.0,not_netflix
149,Puzzle,2018-09-07,103 min,Drama,2 wins & 2 nominations,66.0,6.7,"8,163",tt6933454,2032018.0,English,50000.0,not_netflix
150,Extinction,2018-07-27,95 min,"Action, Drama, Sci-Fi",1 win,40.0,5.8,"54,648",tt3201640,,English,0.0,netflix
151,Christopher Robin,2018-08-03,104 min,"Adventure, Comedy, Drama",Nominated for 1 Oscar. 2 wins & 13 nominations total,60.0,7.2,"80,285",tt4575576,99215042.0,English,75000000.0,not_netflix
152,The Darkest Minds,2018-08-03,104 min,"Action, Adventure, Drama",1 win & 3 nominations,39.0,5.7,"33,694",tt4073790,12695691.0,English,34000000.0,not_netflix
153,The Spy Who Dumped Me,2018-08-03,117 min,"Action, Adventure, Comedy",3 wins & 4 nominations,52.0,6.0,"79,486",tt6663582,33562069.0,"English, Russian, French, Lithuanian, German",40000000.0,not_netflix
154,The Miseducation of Cameron Post,2018-09-07,91 min,"Comedy, Drama",5 wins & 16 nominations,69.0,6.6,"23,880",tt6257174,904703.0,English,900000.0,not_netflix
155,Never Goin' Back,2018-10-30,85 min,"Comedy, Crime, Drama",2 wins & 4 nominations,62.0,6.0,"3,410",tt7690016,61271.0,English,0.0,not_netflix
156,Dog Days,2001-11-09,121 min,Drama,7 wins & 3 nominations,66.0,7.0,"6,367",tt0290661,13031.0,German,10.0,not_netflix
157,The Meg,2018-08-10,113 min,"Action, Horror, Sci-Fi",5 wins & 6 nominations,46.0,5.6,"175,903",tt4779682,145522784.0,"English, Mandarin, Thai, Japanese",150000000.0,not_netflix
158,BlacKkKlansman,2018-08-10,135 min,"Biography, Comedy, Crime",Won 1 Oscar. 45 wins & 215 nominations total,83.0,7.5,"271,614",tt7349662,49275340.0,English,15000000.0,not_netflix
159,Slender Man,2018-08-10,93 min,"Horror, Mystery, Thriller",3 nominations,30.0,3.2,"35,618",tt5690360,30569484.0,English,10000000.0,not_netflix
160,A Prayer Before Dawn,2018-08-10,116 min,"Action, Biography, Crime",1 win & 7 nominations,76.0,6.8,"24,624",tt4080956,14453.0,"English, Thai",0.0,not_netflix
161,Crazy Rich Asians,2018-08-15,120 min,"Comedy, Drama, Romance",14 wins & 67 nominations,74.0,6.9,"178,385",tt3104988,174837452.0,"English, Mandarin, Cantonese, Hokkien, French, Malay",30000000.0,not_netflix
162,Alpha,2018-08-17,96 min,"Action, Adventure, Drama",2 wins,63.0,6.6,"64,032",tt4244998,35857181.0,English,51000000.0,not_netflix
163,Mile 22,2018-08-17,94 min,"Action, Thriller",1 win,38.0,6.1,"82,468",tt4560436,36108758.0,"English, Russian, Indonesian, Filipino",35000000.0,not_netflix
164,The Wife,2018-09-28,99 min,Drama,Nominated for 1 Oscar. 19 wins & 28 nominations total,77.0,7.2,"40,992",tt3750872,9601092.0,"English, Swedish",0.0,not_netflix
