Title,NetFlix,Genre,Year ,Premiere,Runtime,Language
Upstarts,NetFlix Original,Drama,2019,18-Oct-19,1 h 52 min,Hindi
Dolemite Is My Name,NetFlix Original,Biopic,2019,25-Oct-19,1 h 58 min,English
Rattlesnake,NetFlix Original,Horror,2019,25-Oct-19,1 h 25 min,English
The King,NetFlix Original,Historical drama,2019,1-Nov-19,2 h 20 min,English
American Son,NetFlix Original,Drama,2019,1-Nov-19,1 h 30 min,English
Drive,NetFlix Original,Action,2019,1-Nov-19,1 h 59 min,Hindi
Holiday in the Wild,NetFlix Original,Adventure-romance,2019,1-Nov-19,1 h 26 min,English
Let It Snow,NetFlix Original,Romantic comedy,2019,8-Nov-19,1 h 33 min,English
Earthquake Bird,NetFlix Original,Mystery,2019,15-Nov-19,1 h 46 min,English
House Arrest,NetFlix Original,Comedy,2019,15-Nov-19,1 h 44 min,Hindi
Klaus,NetFlix Original,Animation / Christmas / Comedy / Adventure,2019,15-Nov-19,1 h 38 min,English
The Knight Before Christmas,NetFlix Original,Romantic comedy,2019,21-Nov-19,1 h 32 min,English
The Irishman,NetFlix Original,Crime drama,2019,27-Nov-19,3 h 29 min,English
Holiday Rush,NetFlix Original,Family film,2019,28-Nov-19,1 h 34 min,English
Dead Kids,NetFlix Original,Thriller,2019,1-Dec-19,1 h 34 min,Filipino
A Christmas Prince: The Royal Baby,NetFlix Original,Romantic comedy,2019,5-Dec-19,1 h 25 min,English
Marriage Story,NetFlix Original,Drama,2019,6-Dec-19,2 h 16 min,English
6 Underground,NetFlix Original,Action,2019,13-Dec-19,2 h 8 min,English
The Two Popes,NetFlix Original,Drama,2019,20-Dec-19,2 h 5 min,English
Como caído del cielo,NetFlix Original,Musical comedy,2019,24-Dec-19,1 h 57 min,Spanish
The App,NetFlix Original,Science fiction / Drama,2019,26-Dec-19,1 h 19 min,Italian
Ghost Stories,NetFlix Original,Horror anthology,2020,1-Jan-20,2 h 24 min,Hindi
A Fall from Grace,NetFlix Original,Thriller,2020,17-Jan-20,2 h,English
Airplane Mode,NetFlix Original,Comedy,2020,23-Jan-20,1 h 36 min,Portuguese
Horse Girl,NetFlix Original,Drama,2020,7-Feb-20,1 h 44 min,English
To All the Boys: P.S. I Still Love You,NetFlix Original,Romantic comedy,2020,12-Feb-20,1 h 42 min,English
Isi & Ossi,NetFlix Original,Romantic comedy,2020,14-Feb-20,1 h 53 min,German
The Last Thing He Wanted,NetFlix Original,Political thriller,2020,21-Feb-20,1 h 55 min,English
Yeh Ballet,NetFlix Original,Drama,2020,21-Feb-20,1 h 57 min,Hindi
All the Bright Places,NetFlix Original,Romance,2020,28-Feb-20,1 h 48 min,English
Guilty,NetFlix Original,Thriller,2020,6-Mar-20,1 h 59 min,Hindi
Spenser Confidential,NetFlix Original,Action comedy,2020,6-Mar-20,1 h 51 min,English
Lost Girls,NetFlix Original,Crime drama,2020,13-Mar-20,1 h 35 min,English
Ultras,NetFlix Original,Sports film,2020,20-Mar-20,1 h 49 min,Italian
The Occupant,NetFlix Original,Thriller,2020,25-Mar-20,1 h 43 min,Spanish
Maska,NetFlix Original,Romantic comedy,2020,27-Mar-20,1 h 51 min,Hindi
The Decline,NetFlix Original,Thriller,2020,27-Mar-20,1 h 23 min,French
Uncorked,NetFlix Original,Drama,2020,27-Mar-20,1 h 44 min,English
Coffee & Kareem,NetFlix Original,Action comedy,2020,3-Apr-20,1 h 28 min,English
The Main Event,NetFlix Original,Comedy,2020,10-Apr-20,1 h 43 min,English
Love Wedding Repeat,NetFlix Original,Romantic comedy,2020,10-Apr-20,1 h 40 min,English
Tigertail,NetFlix Original,Drama,2020,10-Apr-20,1 h 31 min,English
Earth and Blood,NetFlix Original,Action,2020,17-Apr-20,1 h 20 min,French
Rising High,NetFlix Original,Satire,2020,17-Apr-20,1 h 34 min,German
Sergio,NetFlix Original,Biopic,2020,17-Apr-20,1 h 58 min,English
The Willoughbys,NetFlix Original,Animation / Comedy / Adventure,2020,22-Apr-20,1 h 32 min,English
Time to Hunt,NetFlix Original,Thriller,2020,23-Apr-20,2 h 15 min,Korean
Extraction,NetFlix Original,Action,2020,24-Apr-20,1 h 57 min,English
Dangerous Lies,NetFlix Original,Thriller,2020,30-Apr-20,1 h 37 min,English
Rich in Love,NetFlix Original,Romantic comedy,2020,30-Apr-20,1 h 45 min,Portuguese
All Day and a Night,NetFlix Original,Drama,2020,1-May-20,2 h 1 min,English
Mrs. Serial Killer,NetFlix Original,Thriller,2020,1-May-20,1 h 47 min,Hindi
The Half of It,NetFlix Original,Romance,2020,1-May-20,1 h 45 min,English
The Wrong Missy,NetFlix Original,Comedy,2020,13-May-20,1 h 30 min,English
The Lovebirds,NetFlix Original,Romantic comedy,2020,22-May-20,1 h 27 min,English
I'm No Longer Here,NetFlix Original,Drama,2020,27-May-20,1 h 52 min,Spanish
Intuition,NetFlix Original,Thriller,2020,28-May-20,1 h 56 min,Spanish
Choked: Paisa Bolta Hai,NetFlix Original,Drama,2020,5-Jun-20,1 h 54 min,Hindi
The Last Days of American Crime,NetFlix Original,Heist film / Thriller,2020,5-Jun-20,2 h 29 min,English
Da 5 Bloods,NetFlix Original,War drama,2020,12-Jun-20,2 h 35 min,English
A Whisker Away,NetFlix Original,Anime / Fantasy,2020,18-Jun-20,1 h 45 min,Japanese
Feel the Beat,NetFlix Original,Family / Comedy drama,2020,19-Jun-20,1 h 49 min,English
Lost Bullet,NetFlix Original,Thriller,2020,19-Jun-20,1 h 33 min,French
One-Way to Tomorrow,NetFlix Original,Romance,2020,19-Jun-20,1 h 30 min,Turkish
Bulbbul,NetFlix Original,Horror,2020,24-Jun-20,1 h 34 min,Hindi
Nobody Knows I'm Here,NetFlix Original,Drama,2020,24-Jun-20,1 h 31 min,Spanish
Eurovision Song Contest: The Story of Fire Saga,NetFlix Original,Musical comedy,2020,26-Jun-20,2 h 3 min,English
Under the Riccione Sun,NetFlix Original,Romantic teenage drama,2020,1-Jul-20,1 h 42 min,Italian
Desperados,NetFlix Original,Romantic comedy,2020,3-Jul-20,1 h 46 min,English
The Old Guard,NetFlix Original,Superhero / Action,2020,10-Jul-20,2 h 5 min,English
The Players,NetFlix Original,Comedy,2020,15-Jul-20,1 h 28 min,Italian
Fatal Affair,NetFlix Original,Thriller,2020,16-Jul-20,1 h 29 min,English
The Larva Island Movie,NetFlix Original,Animation,2020,23-Jul-20,1 h 31 min,English
Offering to the Storm,NetFlix Original,Thriller,2020,24-Jul-20,2 h 19 min,Spanish
The Kissing Booth 2,NetFlix Original,Romantic comedy,2020,24-Jul-20,2 h 12 min,English
Seriously Single,NetFlix Original,Comedy,2020,31-Jul-20,1 h 47 min,English
Raat Akeli Hai,NetFlix Original,Thriller,2020,31-Jul-20,2 h 29 min,Hindi
Work It,NetFlix Original,Dance comedy,2020,7-Aug-20,1 h 33 min,English
Gunjan Saxena: The Kargil Girl,NetFlix Original,Drama,2020,12-Aug-20,1 h 52 min,Hindi
Project Power,NetFlix Original,Superhero,2020,14-Aug-20,1 h 53 min,English
Fearless,NetFlix Original,Animation / Superhero,2020,14-Aug-20,1 h 31 min,English
Crazy Awesome Teachers,NetFlix Original,Comedy drama,2020,17-Aug-20,1 h 41 min,Indonesian
The Crimes That Bind,NetFlix Original,Crime drama,2020,20-Aug-20,1 h 39 min,Spanish
The Sleepover,NetFlix Original,Comedy,2020,21-Aug-20,1 h 43 min,English
Class of '83,NetFlix Original,Drama,2020,21-Aug-20,1 h 38 min,Hindi
Dark Forces,NetFlix Original,Thriller,2020,21-Aug-20,1 h 21 min,Spanish
All Together Now,NetFlix Original,Drama,2020,28-Aug-20,1 h 33 min,English
Unknown Origins,NetFlix Original,Thriller,2020,28-Aug-20,1 h 36 min,Spanish
Freaks – You're One of Us,NetFlix Original,Supernatural drama,2020,2-Sep-20,1 h 32 min,German
"Love, Guaranteed",NetFlix Original,Romantic comedy,2020,3-Sep-20,1 h 31 min,English
I'm Thinking of Ending Things,NetFlix Original,Psychological thriller,2020,4-Sep-20,2 h 14 min,English
The Babysitter: Killer Queen,NetFlix Original,Comedy / Horror,2020,10-Sep-20,1 h 42 min,English
Dad Wanted,NetFlix Original,Family,2020,11-Sep-20,1 h 43 min,Spanish
The Devil All The Time,NetFlix Original,Psychological thriller,2020,16-Sep-20,2 h 18 min,English
The Paramedic,NetFlix Original,Thriller,2020,16-Sep-20,1 h 34 min,Spanish
Dolly Kitty Aur Woh Chamakte Sitare,NetFlix Original,Drama,2020,18-Sep-20,2 h,Hindi
Whipped,NetFlix Original,Romantic comedy,2020,18-Sep-20,1 h 37 min,Indonesian
The Boys in the Band,NetFlix Original,Drama,2020,30-Sep-20,2 h 2 min,English
All Because of You,NetFlix Original,Action comedy,2020,1-Oct-20,1 h 41 min,Malay
Òlòt?ré,NetFlix Original,Crime drama,2020,2-Oct-20,1 h 46 min,English
Serious Men,NetFlix Original,Drama,2020,2-Oct-20,1 h 54 min,Hindi
The Binding,NetFlix Original,Drama,2020,2-Oct-20,1 h 33 min,Italian
Vampires vs. the Bronx,NetFlix Original,Horror comedy,2020,2-Oct-20,1 h 25 min,English
You've Got This,NetFlix Original,Romantic comedy,2020,2-Oct-20,1 h 51 min,Spanish
Hubie Halloween,NetFlix Original,Comedy,2020,7-Oct-20,1 h 43 min,English
Ginny Weds Sunny,NetFlix Original,Romantic comedy,2020,9-Oct-20,2 h 5 min,Hindi
The Forty-Year-Old Version,NetFlix Original,Comedy,2020,9-Oct-20,2 h 4 min,English
A Babysitter's Guide to Monster Hunting,NetFlix Original,Comedy / Fantasy / Family,2020,15-Oct-20,1 h 38 min,English
Love Like the Falling Rain,NetFlix Original,Drama,2020,15-Oct-20,1 h 26 min,Indonesian
The Trial of the Chicago 7,NetFlix Original,Drama,2020,16-Oct-20,2 h 10 min,English
Rebecca,NetFlix Original,Romantic thriller,2020,21-Oct-20,2 h 3 min,English
Cadaver,NetFlix Original,Horror,2020,22-Oct-20,1 h 26 min,Norwegian
Over the Moon,NetFlix Original,Animation / Musical / Adventure,2020,23-Oct-20,1 h 40 min,English
Holidate,NetFlix Original,Romantic comedy / Christmas,2020,28-Oct-20,1 h 44 min,English
Nobody Sleeps in the Woods Tonight,NetFlix Original,Horror,2020,28-Oct-20,1 h 43 min,Polish
His House,NetFlix Original,Thriller,2020,30-Oct-20,1 h 33 min,English
Kaali Khuhi,NetFlix Original,Mystery,2020,30-Oct-20,1 h 30 min,Hindi
Rogue City,NetFlix Original,Crime drama,2020,30-Oct-20,1 h 56 min,French
The Day of the Lord,NetFlix Original,Drama,2020,30-Oct-20,1 h 33 min,Spanish
Operation Christmas Drop,NetFlix Original,Romantic comedy,2020,5-Nov-20,1 h 36 min,English
Citation,NetFlix Original,Drama,2020,6-Nov-20,2 h 31 min,English
What We Wanted,NetFlix Original,Drama,2020,11-Nov-20,1 h 33 min,German
Ludo,NetFlix Original,Anthology / Dark comedy,2020,12-Nov-20,2 h 30 min,Hindi
Jingle Jangle: A Christmas Journey,NetFlix Original,Family / Christmas musical,2020,13-Nov-20,1 h 59 min,English
The Life Ahead,NetFlix Original,Drama,2020,13-Nov-20,1 h 35 min,Italian
The Princess Switch: Switched Again,NetFlix Original,Romantic comedy,2020,19-Nov-20,1 h 37 min,English
Christmas on the Square,NetFlix Original,Christmas musical,2020,22-Nov-20,1 h 38 min,English
Hillbilly Elegy,NetFlix Original,Drama,2020,24-Nov-20,1 h 57 min,English
Notes for My Son,NetFlix Original,Drama,2020,24-Nov-20,1 h 23 min,Spanish
The Christmas Chronicles: Part Two,NetFlix Original,Christmas comedy,2020,25-Nov-20,1 h 55 min,English
The Beast,NetFlix Original,Drama,2020,27-Nov-20,1 h 39 min,Italian
The Call,NetFlix Original,Drama,2020,27-Nov-20,1 h 52 min,Korean
Finding Agnes,NetFlix Original,Drama,2020,30-Nov-20,1 h 45 min,Filipino
Just Another Christmas,NetFlix Original,Comedy,2020,3-Dec-20,1 h 41 min,Portuguese
Christmas Crossfire,NetFlix Original,Thriller,2020,4-Dec-20,1 h 46 min,German
Leyla Everlasting,NetFlix Original,Comedy,2020,4-Dec-20,1 h 52 min,Turkish
Mank,NetFlix Original,Biopic,2020,4-Dec-20,2 h 12 min,English
The Claus Family,NetFlix Original,Fantasy,2020,7-Dec-20,1 h 37 min,Dutch
Rose Island,NetFlix Original,Comedy,2020,9-Dec-20,1 h 58 min,Italian
The Prom,NetFlix Original,Musical,2020,11-Dec-20,2 h 12 min,English
A California Christmas,NetFlix Original,Romantic comedy,2020,14-Dec-20,1 h 47 min,English
Ma Rainey's Black Bottom,NetFlix Original,Drama,2020,18-Dec-20,1 h 34 min,English
The Midnight Sky,NetFlix Original,Science fiction,2020,23-Dec-20,1 h 58 min,English
AK vs AK,NetFlix Original,Thriller,2020,24-Dec-20,1 h 49 min,Hindi
We Can Be Heroes,NetFlix Original,Superhero,2020,25-Dec-20,1 h 40 min,English
What Happened to Mr. Cha?,NetFlix Original,Comedy,2021,1-Jan-21,1 h 42 min,Korean
Pieces of a Woman,NetFlix Original,Drama,2021,8-Jan-21,2 h 6 min,English
Stuck Apart,NetFlix Original,Drama,2021,8-Jan-21,1 h 36 min,Turkish
The Heartbreak Club,NetFlix Original,Comedy drama,2021,14-Jan-21,1 h 41 min,Indonesian
Double Dad,NetFlix Original,Comedy drama,2021,15-Jan-21,1 h 45 min,Portuguese
Outside the Wire,NetFlix Original,Action / science fiction,2021,15-Jan-21,1 h 55 min,English
Tribhanga – Tedhi Medhi Crazy,NetFlix Original,Drama,2021,15-Jan-21,1 h 35 min,Hindi
The White Tiger,NetFlix Original,Drama,2021,22-Jan-21,2 h 5 min,English
June & Kopi,NetFlix Original,Drama,2021,28-Jan-21,1 h 30 min,Indonesian
Finding ?Ohana,NetFlix Original,Family,2021,29-Jan-21,2 h 3 min,English
The Dig,NetFlix Original,Drama,2021,29-Jan-21,1 h 52 min,English
Below Zero,NetFlix Original,Drama,2021,29-Jan-21,1 h 46 min,Spanish
The Last Paradiso,NetFlix Original,Romantic drama,2021,5-Feb-21,1 h 47 min,Italian
Malcolm & Marie,NetFlix Original,Romantic drama,2021,5-Feb-21,1 h 46 min,English
Space Sweepers,NetFlix Original,Science fiction,2021,5-Feb-21,2 h 16 min,Korean
The Misadventures of Hedi and Cokeman,NetFlix Original,Comedy,2021,10-Feb-21,1 h 39 min,French
Red Dot,NetFlix Original,Thriller,2021,11-Feb-21,1 h 26 min,Swedish
Squared Love,NetFlix Original,Romantic comedy,2021,11-Feb-21,1 h 42 min,Polish
To All the Boys: Always and Forever,NetFlix Original,Romantic comedy,2021,12-Feb-21,1 h 55 min,English
Geez & Ann,NetFlix Original,Romantic drama,2021,25-Feb-21,1 h 45 min,Indonesian
Crazy About Her,NetFlix Original,Romantic comedy,2021,26-Feb-21,1 h 42 min,Spanish
The Girl on the Train,NetFlix Original,Thriller,2021,26-Feb-21,2 h,Hindi
Moxie,NetFlix Original,Drama,2021,3-Mar-21,1 h 51 min,English
Sentinelle,NetFlix Original,Action,2021,5-Mar-21,1 h 20 min,French
Yes Day,NetFlix Original,Comedy,2021,12-Mar-21,1 h 29 min,English
Paper Lives,NetFlix Original,Drama,2021,12-Mar-21,1 h 37 min,Turkish
Get the Goat,NetFlix Original,Comedy,2021,18-Mar-21,1 h 38 min,Portuguese
Caught by a Wave,NetFlix Original,Romantic teen drama,2021,25-Mar-21,1 h 39 min,Italian
A Week Away,NetFlix Original,Christian musical,2021,26-Mar-21,1 h 37 min,English
Bad Trip,NetFlix Original,Hidden-camera prank comedy,2021,26-Mar-21,1 h 26 min,English
Pagglait,NetFlix Original,Comedy drama,2021,26-Mar-21,1 h 54 min,Hindi
Tersanjung the Movie,NetFlix Original,Drama,2021,1-Apr-21,1 h 54 min,Indonesian
Concrete Cowboy,NetFlix Original,Drama,2021,2-Apr-21,1 h 51 min,English
Just Say Yes,NetFlix Original,Romantic comedy,2021,2-Apr-21,1 h 37 min,Dutch
Madame Claude,NetFlix Original,Drama,2021,2-Apr-21,1 h 52 min,French
Have You Ever Seen Fireflies?,NetFlix Original,Comedy,2021,9-Apr-21,1 h 54 min,Turkish
Night in Paradise,NetFlix Original,Drama,2021,9-Apr-21,2 h 12 min,Korean
Thunder Force,NetFlix Original,Superhero comedy,2021,9-Apr-21,1 h 47 min,English
Prime Time,NetFlix Original,Thriller,2021,14-Apr-21,1 h 32 min,Polish
Ride or Die,NetFlix Original,Psychological thriller drama,2021,15-Apr-21,2 h 22 min,Japanese
Ajeeb Daastaans,NetFlix Original,Drama,2021,16-Apr-21,2 h 22 min,Hindi
Arlo the Alligator Boy,NetFlix Original,Animated musical comedy,2021,16-Apr-21,1 h 32 min,English
Get the Grift,NetFlix Original,Comedy,2021,28-Apr-21,1 h 35 min,Portuguese
Things Heard & Seen,NetFlix Original,Horror,2021,29-Apr-21,2 h 1 min,English
The Disciple,NetFlix Original,Drama,2021,30-Apr-21,2 h 8 min,Marathi
